program_started : 1563809268853829 : 8537
circBuffer.txt not found!
Starting with clean buffers
sent_message : 1563810669600504 : 10.0.85.36
sent_message : 1563810677720617 : 10.0.85.38
received_accepted_message : 1563810692962686 : 10.0.85.38
received_rejected_message : 1563810693387924 : 10.0.85.36
received_rejected_message : 1563810693708128 : 10.0.85.36
received_rejected_message : 1563810698581329 : 10.0.85.35
sent_message : 1563810709211773 : 10.0.85.35
generated_message : 1563810719165861
sent_message : 1563810719477595 : 10.0.85.36
sent_message : 1563810727217781 : 10.0.85.38
sent_message : 1563810727765375 : 10.0.85.38
received_accepted_message : 1563810742184723 : 10.0.85.36
received_rejected_message : 1563810746908103 : 10.0.85.35
sent_message : 1563810756955004 : 10.0.85.35
sent_message : 1563810757156102 : 10.0.85.35
sent_message : 1563810767035279 : 10.0.85.36
sent_message : 1563810775945643 : 10.0.85.38
received_rejected_message : 1563810787396487 : 10.0.85.38
received_accepted_message : 1563810789439128 : 10.0.85.36
received_rejected_message : 1563810793957940 : 10.0.85.35
sent_message : 1563810806817687 : 10.0.85.35
sent_message : 1563810831393408 : 10.0.85.38
received_rejected_message : 1563810841509630 : 10.0.85.38
received_accepted_message : 1563810945867285 : 10.0.85.35
received_accepted_message : 1563810968466273 : 10.0.85.38
received_rejected_message : 1563810968468663 : 10.0.85.35
received_rejected_message : 1563810988141450 : 10.0.85.36
received_rejected_message : 1563810988555824 : 10.0.85.36
sent_message : 1563811004499724 : 10.0.85.35
received_rejected_message : 1563810996624604 : 10.0.85.38
sent_message : 1563811014939315 : 10.0.85.36
sent_message : 1563811015185753 : 10.0.85.36
generated_message : 1563811019497048
sent_message : 1563811026904706 : 10.0.85.38
received_accepted_message : 1563811042593669 : 10.0.85.36
sent_message : 1563811057921211 : 10.0.85.35
sent_message : 1563811058182736 : 10.0.85.35
received_rejected_message : 1563811058086467 : 10.0.85.35
sent_message : 1563811067447133 : 10.0.85.36
sent_message : 1563811077877717 : 10.0.85.38
sent_message : 1563811078173376 : 10.0.85.38
received_rejected_message : 1563811102122009 : 10.0.85.38
received_accepted_message : 1563811131421665 : 10.0.85.38
generated_message : 1563811147328367
sent_message : 1563811166347737 : 10.0.85.35
sent_message : 1563811166562791 : 10.0.85.35
received_rejected_message : 1563811165150174 : 10.0.85.35
received_accepted_message : 1563811166568148 : 10.0.85.35
sent_message : 1563811176378312 : 10.0.85.36
sent_message : 1563811176757041 : 10.0.85.36
sent_message : 1563811177014290 : 10.0.85.36
sent_message : 1563811186382842 : 10.0.85.38
sent_message : 1563811186771980 : 10.0.85.38
received_rejected_message : 1563811187074285 : 10.0.85.35
device_disconnected : 1563811187078884 : 10.0.85.35
device_disconnected : 1563811190073781 : 10.0.85.35
received_rejected_message : 1563811206502169 : 10.0.85.38
device_connected : 1563811207066250 : 10.0.85.46
sent_message : 1563811208286236 : 10.0.85.46
sent_message : 1563811208487091 : 10.0.85.46
sent_message : 1563811208829366 : 10.0.85.46
sent_message : 1563811209069696 : 10.0.85.46
sent_message : 1563811209267617 : 10.0.85.46
sent_message : 1563811209464422 : 10.0.85.46
sent_message : 1563811209667961 : 10.0.85.46
sent_message : 1563811209874561 : 10.0.85.46
sent_message : 1563811210068332 : 10.0.85.46
sent_message : 1563811210283697 : 10.0.85.46
sent_message : 1563811210621297 : 10.0.85.46
sent_message : 1563811210864129 : 10.0.85.46
sent_message : 1563811211054573 : 10.0.85.46
sent_message : 1563811211270963 : 10.0.85.46
sent_message : 1563811211493634 : 10.0.85.46
sent_message : 1563811211721187 : 10.0.85.46
sent_message : 1563811211890662 : 10.0.85.46
sent_message : 1563811212086228 : 10.0.85.46
sent_message : 1563811212410074 : 10.0.85.46
sent_message : 1563811212652965 : 10.0.85.46
sent_message : 1563811212871734 : 10.0.85.46
sent_message : 1563811213086144 : 10.0.85.46
sent_message : 1563811213319503 : 10.0.85.46
sent_message : 1563811213513528 : 10.0.85.46
sent_message : 1563811213696377 : 10.0.85.46
sent_message : 1563811214007360 : 10.0.85.46
sent_message : 1563811214317852 : 10.0.85.46
sent_message : 1563811214555627 : 10.0.85.46
sent_message : 1563811214760322 : 10.0.85.46
sent_message : 1563811214963891 : 10.0.85.46
sent_message : 1563811215157147 : 10.0.85.46
sent_message : 1563811215340343 : 10.0.85.46
sent_message : 1563811215524543 : 10.0.85.46
sent_message : 1563811215776167 : 10.0.85.46
sent_message : 1563811216066906 : 10.0.85.46
sent_message : 1563811216292559 : 10.0.85.46
sent_message : 1563811216499821 : 10.0.85.46
sent_message : 1563811216690080 : 10.0.85.46
sent_message : 1563811216880629 : 10.0.85.46
received_rejected_message : 1563811209912214 : 10.0.85.46
received_rejected_message : 1563811216886471 : 10.0.85.46
received_rejected_message : 1563811216889890 : 10.0.85.46
received_rejected_message : 1563811216890511 : 10.0.85.46
received_rejected_message : 1563811235314008 : 10.0.85.46
received_rejected_message : 1563811235527708 : 10.0.85.46
received_rejected_message : 1563811235741847 : 10.0.85.46
received_rejected_message : 1563811236004550 : 10.0.85.46
received_rejected_message : 1563811236212297 : 10.0.85.46
received_rejected_message : 1563811236596131 : 10.0.85.46
received_rejected_message : 1563811236916134 : 10.0.85.46
received_rejected_message : 1563811237189193 : 10.0.85.46
received_rejected_message : 1563811237399785 : 10.0.85.46
received_rejected_message : 1563811237782610 : 10.0.85.46
received_rejected_message : 1563811237965330 : 10.0.85.46
received_rejected_message : 1563811238170409 : 10.0.85.46
received_rejected_message : 1563811238406416 : 10.0.85.46
received_rejected_message : 1563811238696135 : 10.0.85.46
received_rejected_message : 1563811238965034 : 10.0.85.46
received_rejected_message : 1563811239410112 : 10.0.85.46
received_rejected_message : 1563811239633065 : 10.0.85.46
received_rejected_message : 1563811240051345 : 10.0.85.46
received_rejected_message : 1563811240500597 : 10.0.85.46
received_rejected_message : 1563811240783955 : 10.0.85.46
received_rejected_message : 1563811241020106 : 10.0.85.46
received_rejected_message : 1563811241217687 : 10.0.85.46
received_rejected_message : 1563811241646034 : 10.0.85.46
received_rejected_message : 1563811241850399 : 10.0.85.46
received_rejected_message : 1563811242282137 : 10.0.85.46
received_accepted_message : 1563811244901689 : 10.0.85.38
sent_message : 1563811255858947 : 10.0.85.46
received_rejected_message : 1563811281645488 : 10.0.85.46
received_accepted_message : 1563811324003713 : 10.0.85.38
received_rejected_message : 1563811362021331 : 10.0.85.46
sent_message : 1563811372574127 : 10.0.85.46
received_accepted_message : 1563811403074289 : 10.0.85.46
sent_message : 1563811423730682 : 10.0.85.38
generated_message : 1563811447343050
received_accepted_message : 1563811445322890 : 10.0.85.46
