program_started : 1563811834452689 : 8548
circBuffer.txt not found!
Starting with clean buffers
device_connected : 1563811855294439 : 10.0.85.37
received_accepted_message : 1563811866749573 : 10.0.85.37
received_accepted_message : 1563811867007758 : 10.0.85.37
received_accepted_message : 1563811867287478 : 10.0.85.37
received_accepted_message : 1563811867483749 : 10.0.85.37
received_accepted_message : 1563811867692466 : 10.0.85.37
received_accepted_message : 1563811867895073 : 10.0.85.37
received_accepted_message : 1563811868117033 : 10.0.85.37
received_accepted_message : 1563811868304303 : 10.0.85.37
received_accepted_message : 1563811868470715 : 10.0.85.37
received_accepted_message : 1563811868679126 : 10.0.85.37
received_accepted_message : 1563811868992769 : 10.0.85.37
received_accepted_message : 1563811869236989 : 10.0.85.37
received_accepted_message : 1563811869453574 : 10.0.85.37
received_accepted_message : 1563811869656735 : 10.0.85.37
received_accepted_message : 1563811869875751 : 10.0.85.37
received_accepted_message : 1563811870060243 : 10.0.85.37
received_accepted_message : 1563811870246459 : 10.0.85.37
received_accepted_message : 1563811870422635 : 10.0.85.37
received_accepted_message : 1563811870741786 : 10.0.85.37
received_accepted_message : 1563811871079426 : 10.0.85.37
received_accepted_message : 1563811871562773 : 10.0.85.37
received_accepted_message : 1563811871885471 : 10.0.85.37
received_accepted_message : 1563811872080793 : 10.0.85.37
received_accepted_message : 1563811872365178 : 10.0.85.37
received_accepted_message : 1563811872623831 : 10.0.85.37
received_accepted_message : 1563811872841050 : 10.0.85.37
received_accepted_message : 1563811873034301 : 10.0.85.37
received_accepted_message : 1563811873232675 : 10.0.85.37
received_accepted_message : 1563811873420960 : 10.0.85.37
received_accepted_message : 1563811873633620 : 10.0.85.37
received_accepted_message : 1563811873808783 : 10.0.85.37
received_accepted_message : 1563811874099826 : 10.0.85.37
received_accepted_message : 1563811874341645 : 10.0.85.37
received_accepted_message : 1563811874550268 : 10.0.85.37
received_accepted_message : 1563811874733633 : 10.0.85.37
received_accepted_message : 1563811874922202 : 10.0.85.37
received_accepted_message : 1563811875104121 : 10.0.85.37
received_accepted_message : 1563811875345576 : 10.0.85.37
received_accepted_message : 1563811875546620 : 10.0.85.37
received_accepted_message : 1563811875892793 : 10.0.85.37
received_accepted_message : 1563811876099528 : 10.0.85.37
received_accepted_message : 1563811876309738 : 10.0.85.37
received_accepted_message : 1563811876508266 : 10.0.85.37
received_accepted_message : 1563811876683475 : 10.0.85.37
received_accepted_message : 1563811876853403 : 10.0.85.37
sent_message : 1563811877239575 : 10.0.85.37
sent_message : 1563811877870661 : 10.0.85.37
sent_message : 1563811878079140 : 10.0.85.37
sent_message : 1563811878269216 : 10.0.85.37
sent_message : 1563811878728706 : 10.0.85.37
sent_message : 1563811878983255 : 10.0.85.37
sent_message : 1563811879188339 : 10.0.85.37
sent_message : 1563811879388367 : 10.0.85.37
sent_message : 1563811879593157 : 10.0.85.37
sent_message : 1563811879997309 : 10.0.85.37
sent_message : 1563811880256650 : 10.0.85.37
sent_message : 1563811880535174 : 10.0.85.37
sent_message : 1563811880757709 : 10.0.85.37
sent_message : 1563811881200749 : 10.0.85.37
sent_message : 1563811881405581 : 10.0.85.37
sent_message : 1563811881589216 : 10.0.85.37
sent_message : 1563811881751676 : 10.0.85.37
sent_message : 1563811881973206 : 10.0.85.37
sent_message : 1563811882256618 : 10.0.85.37
sent_message : 1563811882679552 : 10.0.85.37
sent_message : 1563811882887011 : 10.0.85.37
sent_message : 1563811883245381 : 10.0.85.37
sent_message : 1563811883663729 : 10.0.85.37
sent_message : 1563811883957771 : 10.0.85.37
sent_message : 1563811884144814 : 10.0.85.37
sent_message : 1563811884351394 : 10.0.85.37
sent_message : 1563811884744297 : 10.0.85.37
sent_message : 1563811884936960 : 10.0.85.37
sent_message : 1563811885359636 : 10.0.85.37
sent_message : 1563811885637870 : 10.0.85.37
sent_message : 1563811885852651 : 10.0.85.37
sent_message : 1563811886060724 : 10.0.85.37
sent_message : 1563811886460613 : 10.0.85.37
sent_message : 1563811886651053 : 10.0.85.37
received_accepted_message : 1563811877055556 : 10.0.85.37
received_accepted_message : 1563811886659870 : 10.0.85.37
received_accepted_message : 1563811886661087 : 10.0.85.37
sent_message : 1563811917441304 : 10.0.85.37
sent_message : 1563811917684539 : 10.0.85.37
received_accepted_message : 1563811909114356 : 10.0.85.37
generated_message : 1563812135645284
sent_message : 1563812168498969 : 10.0.85.37
received_accepted_message : 1563812162438766 : 10.0.85.37
received_accepted_message : 1563812291406796 : 10.0.85.37
generated_message : 1563812377125669
sent_message : 1563812392945665 : 10.0.85.37
received_accepted_message : 1563812516839007 : 10.0.85.37
received_accepted_message : 1563812650037960 : 10.0.85.37
generated_message : 1563812677128712
sent_message : 1563812720750077 : 10.0.85.37
generated_message : 1563812747015430
sent_message : 1563812787349964 : 10.0.85.37
received_accepted_message : 1563812784594578 : 10.0.85.37
generated_message : 1563812814003012
sent_message : 1563812854565540 : 10.0.85.37
received_accepted_message : 1563812885672692 : 10.0.85.37
device_connected : 1563813009214864 : 10.0.85.36
sent_message : 1563813035601049 : 10.0.85.36
sent_message : 1563813035803178 : 10.0.85.36
sent_message : 1563813035982643 : 10.0.85.36
sent_message : 1563813036187475 : 10.0.85.36
sent_message : 1563813036751675 : 10.0.85.36
sent_message : 1563813036990318 : 10.0.85.36
sent_message : 1563813037214870 : 10.0.85.36
sent_message : 1563813037661835 : 10.0.85.36
sent_message : 1563813037859240 : 10.0.85.36
sent_message : 1563813038058222 : 10.0.85.36
sent_message : 1563813038355901 : 10.0.85.36
sent_message : 1563813038607549 : 10.0.85.36
sent_message : 1563813039088568 : 10.0.85.36
sent_message : 1563813039328836 : 10.0.85.36
sent_message : 1563813039571919 : 10.0.85.36
sent_message : 1563813039786807 : 10.0.85.36
sent_message : 1563813040747740 : 10.0.85.36
sent_message : 1563813041243395 : 10.0.85.36
sent_message : 1563813041472931 : 10.0.85.36
sent_message : 1563813041721045 : 10.0.85.36
sent_message : 1563813041982111 : 10.0.85.36
sent_message : 1563813042325888 : 10.0.85.36
sent_message : 1563813042620024 : 10.0.85.36
