program_started : 1563811188104251 : 8546
circBuffer.txt not found!
Starting with clean buffers
device_connected : 1563811207687301 : 10.0.85.37
received_accepted_message : 1563811208907779 : 10.0.85.37
received_accepted_message : 1563811209107980 : 10.0.85.37
device_connected : 1563811209296930 : 10.0.85.38
received_accepted_message : 1563811209453415 : 10.0.85.37
received_accepted_message : 1563811209688049 : 10.0.85.37
received_accepted_message : 1563811209886235 : 10.0.85.37
received_accepted_message : 1563811210082775 : 10.0.85.37
received_accepted_message : 1563811210285952 : 10.0.85.37
sent_message : 1563811210522201 : 10.0.85.37
sent_message : 1563811211300987 : 10.0.85.37
sent_message : 1563811211502698 : 10.0.85.37
sent_message : 1563811211710792 : 10.0.85.37
sent_message : 1563811212143465 : 10.0.85.38
sent_message : 1563811212326955 : 10.0.85.38
sent_message : 1563811212592025 : 10.0.85.38
sent_message : 1563811212899316 : 10.0.85.38
sent_message : 1563811213105624 : 10.0.85.38
sent_message : 1563811213541217 : 10.0.85.38
received_accepted_message : 1563811210493049 : 10.0.85.37
received_accepted_message : 1563811213547912 : 10.0.85.37
received_accepted_message : 1563811213548463 : 10.0.85.37
received_accepted_message : 1563811213548780 : 10.0.85.37
received_accepted_message : 1563811213549125 : 10.0.85.37
received_accepted_message : 1563811213560158 : 10.0.85.37
received_accepted_message : 1563811213560722 : 10.0.85.37
received_accepted_message : 1563811213561037 : 10.0.85.37
received_accepted_message : 1563811213561368 : 10.0.85.37
received_accepted_message : 1563811213561897 : 10.0.85.37
received_accepted_message : 1563811213562227 : 10.0.85.37
received_accepted_message : 1563811213562544 : 10.0.85.37
received_accepted_message : 1563811213562860 : 10.0.85.37
received_accepted_message : 1563811213563228 : 10.0.85.37
received_accepted_message : 1563811213720400 : 10.0.85.37
received_accepted_message : 1563811213938533 : 10.0.85.37
received_accepted_message : 1563811214132009 : 10.0.85.37
received_accepted_message : 1563811214314806 : 10.0.85.37
received_accepted_message : 1563811214632487 : 10.0.85.37
received_accepted_message : 1563811214936237 : 10.0.85.37
received_accepted_message : 1563811215174372 : 10.0.85.37
received_accepted_message : 1563811215378902 : 10.0.85.37
received_accepted_message : 1563811215581843 : 10.0.85.37
received_accepted_message : 1563811215775080 : 10.0.85.37
received_accepted_message : 1563811215958348 : 10.0.85.37
received_accepted_message : 1563811216142532 : 10.0.85.37
received_accepted_message : 1563811216398344 : 10.0.85.37
received_accepted_message : 1563811216685100 : 10.0.85.37
received_accepted_message : 1563811216910611 : 10.0.85.37
received_accepted_message : 1563811217117850 : 10.0.85.37
received_accepted_message : 1563811217308435 : 10.0.85.37
received_accepted_message : 1563811217499180 : 10.0.85.37
received_rejected_message : 1563811227879039 : 10.0.85.38
received_rejected_message : 1563811228137143 : 10.0.85.38
received_rejected_message : 1563811228354142 : 10.0.85.38
received_rejected_message : 1563811228544898 : 10.0.85.38
received_rejected_message : 1563811228729884 : 10.0.85.38
received_rejected_message : 1563811228948027 : 10.0.85.38
received_rejected_message : 1563811229120829 : 10.0.85.38
received_rejected_message : 1563811229320623 : 10.0.85.38
received_rejected_message : 1563811229610392 : 10.0.85.38
received_rejected_message : 1563811229870252 : 10.0.85.38
received_rejected_message : 1563811230075696 : 10.0.85.38
received_rejected_message : 1563811230283721 : 10.0.85.38
received_rejected_message : 1563811230492865 : 10.0.85.38
received_rejected_message : 1563811230681484 : 10.0.85.38
received_rejected_message : 1563811230876605 : 10.0.85.38
received_rejected_message : 1563811231150441 : 10.0.85.38
received_rejected_message : 1563811231447804 : 10.0.85.38
received_rejected_message : 1563811231663851 : 10.0.85.38
received_rejected_message : 1563811231868700 : 10.0.85.38
received_rejected_message : 1563811232057092 : 10.0.85.38
received_rejected_message : 1563811232248673 : 10.0.85.38
received_rejected_message : 1563811232411564 : 10.0.85.38
received_rejected_message : 1563811232611737 : 10.0.85.38
received_rejected_message : 1563811232776278 : 10.0.85.38
received_rejected_message : 1563811233093281 : 10.0.85.38
received_rejected_message : 1563811233344734 : 10.0.85.38
received_rejected_message : 1563811233551837 : 10.0.85.38
received_rejected_message : 1563811233768274 : 10.0.85.38
received_rejected_message : 1563811233975777 : 10.0.85.38
sent_message : 1563811235916295 : 10.0.85.37
sent_message : 1563811236142205 : 10.0.85.37
sent_message : 1563811236356048 : 10.0.85.37
sent_message : 1563811236619153 : 10.0.85.37
sent_message : 1563811236825684 : 10.0.85.37
sent_message : 1563811237210862 : 10.0.85.37
sent_message : 1563811237524900 : 10.0.85.37
sent_message : 1563811237803822 : 10.0.85.37
sent_message : 1563811238014295 : 10.0.85.37
sent_message : 1563811238396625 : 10.0.85.37
sent_message : 1563811238580025 : 10.0.85.37
sent_message : 1563811238785047 : 10.0.85.37
sent_message : 1563811239020707 : 10.0.85.37
sent_message : 1563811239304996 : 10.0.85.37
sent_message : 1563811239579314 : 10.0.85.37
sent_message : 1563811240024760 : 10.0.85.37
sent_message : 1563811240247759 : 10.0.85.37
sent_message : 1563811240665664 : 10.0.85.37
sent_message : 1563811241108953 : 10.0.85.37
sent_message : 1563811241398611 : 10.0.85.37
sent_message : 1563811241634725 : 10.0.85.37
sent_message : 1563811241832292 : 10.0.85.37
sent_message : 1563811242260773 : 10.0.85.37
sent_message : 1563811242465041 : 10.0.85.37
sent_message : 1563811242892536 : 10.0.85.37
received_rejected_message : 1563811234177567 : 10.0.85.38
sent_message : 1563811244817884 : 10.0.85.38
sent_message : 1563811245342782 : 10.0.85.38
sent_message : 1563811245808665 : 10.0.85.38
sent_message : 1563811246240429 : 10.0.85.38
sent_message : 1563811246450595 : 10.0.85.38
sent_message : 1563811246617337 : 10.0.85.38
sent_message : 1563811246774973 : 10.0.85.38
sent_message : 1563811247329177 : 10.0.85.38
sent_message : 1563811247545960 : 10.0.85.38
sent_message : 1563811247756332 : 10.0.85.38
sent_message : 1563811247964530 : 10.0.85.38
sent_message : 1563811248362361 : 10.0.85.38
sent_message : 1563811248767574 : 10.0.85.38
sent_message : 1563811249076934 : 10.0.85.38
sent_message : 1563811249521726 : 10.0.85.38
sent_message : 1563811249741037 : 10.0.85.38
