program_started : 1563809260385775 : 8535
circBuffer.txt not found!
Starting with clean buffers
device_connected : 1563809280630741 : 10.0.85.37
device_connected : 1563809280638597 : 10.0.85.38
device_connected : 1563809280646804 : 10.0.85.36
generated_message : 1563809321091637
sent_message : 1563809322987617 : 10.0.85.37
sent_message : 1563809323286823 : 10.0.85.38
sent_message : 1563809323500209 : 10.0.85.36
received_accepted_message : 1563809332377769 : 10.0.85.37
received_rejected_message : 1563809336395671 : 10.0.85.38
sent_message : 1563809344939956 : 10.0.85.38
sent_message : 1563809345391392 : 10.0.85.36
received_rejected_message : 1563809349973498 : 10.0.85.36
received_accepted_message : 1563809398157089 : 10.0.85.37
received_rejected_message : 1563809402591293 : 10.0.85.38
sent_message : 1563809411025064 : 10.0.85.38
sent_message : 1563809411591468 : 10.0.85.36
received_rejected_message : 1563809415661345 : 10.0.85.36
generated_message : 1563809441094250
sent_message : 1563809455462814 : 10.0.85.37
sent_message : 1563809456292783 : 10.0.85.38
sent_message : 1563809457221837 : 10.0.85.36
received_accepted_message : 1563809461117022 : 10.0.85.36
received_rejected_message : 1563809466032337 : 10.0.85.37
received_accepted_message : 1563809470044856 : 10.0.85.38
received_rejected_message : 1563809470581719 : 10.0.85.38
sent_message : 1563809478813041 : 10.0.85.37
sent_message : 1563809478993184 : 10.0.85.37
sent_message : 1563809480160349 : 10.0.85.38
sent_message : 1563809481697739 : 10.0.85.36
received_rejected_message : 1563809485464840 : 10.0.85.36
received_rejected_message : 1563809490057272 : 10.0.85.37
generated_message : 1563809561097831
sent_message : 1563809579145234 : 10.0.85.37
sent_message : 1563809580739894 : 10.0.85.38
sent_message : 1563809582365368 : 10.0.85.36
received_accepted_message : 1563809589711235 : 10.0.85.37
sent_message : 1563809606421906 : 10.0.85.38
sent_message : 1563809608187272 : 10.0.85.36
received_rejected_message : 1563809610361876 : 10.0.85.36
received_rejected_message : 1563809620310030 : 10.0.85.38
received_accepted_message : 1563809691043549 : 10.0.85.36
received_rejected_message : 1563809697406235 : 10.0.85.37
received_rejected_message : 1563809701755729 : 10.0.85.38
sent_message : 1563809711427873 : 10.0.85.37
sent_message : 1563809713362841 : 10.0.85.38
generated_message : 1563809741101129
sent_message : 1563809765480067 : 10.0.85.37
sent_message : 1563809767711630 : 10.0.85.38
sent_message : 1563809769999196 : 10.0.85.36
received_accepted_message : 1563809771814021 : 10.0.85.36
received_rejected_message : 1563809778912145 : 10.0.85.37
received_rejected_message : 1563809784209220 : 10.0.85.38
sent_message : 1563809793052881 : 10.0.85.37
sent_message : 1563809798073463 : 10.0.85.36
received_accepted_message : 1563809841742047 : 10.0.85.38
sent_message : 1563809849547490 : 10.0.85.37
sent_message : 1563809854886303 : 10.0.85.36
received_rejected_message : 1563809856803505 : 10.0.85.36
received_rejected_message : 1563809866791344 : 10.0.85.37
received_accepted_message : 1563809898050805 : 10.0.85.37
sent_message : 1563809910610321 : 10.0.85.38
sent_message : 1563809913552270 : 10.0.85.36
received_rejected_message : 1563809915197502 : 10.0.85.36
received_rejected_message : 1563809930494779 : 10.0.85.38
generated_message : 1563809982635763
sent_message : 1563810000730093 : 10.0.85.37
sent_message : 1563810004374667 : 10.0.85.38
sent_message : 1563810009305692 : 10.0.85.36
received_accepted_message : 1563810005505386 : 10.0.85.36
received_rejected_message : 1563810021588333 : 10.0.85.37
received_rejected_message : 1563810024698390 : 10.0.85.38
sent_message : 1563810034599740 : 10.0.85.37
sent_message : 1563810038224810 : 10.0.85.38
generated_message : 1563810042641455
sent_message : 1563810067268547 : 10.0.85.37
sent_message : 1563810071495632 : 10.0.85.38
sent_message : 1563810074919020 : 10.0.85.36
received_accepted_message : 1563810125050556 : 10.0.85.38
sent_message : 1563810136108503 : 10.0.85.37
sent_message : 1563810144183427 : 10.0.85.36
received_rejected_message : 1563810138834188 : 10.0.85.36
received_rejected_message : 1563810157776996 : 10.0.85.37
received_accepted_message : 1563810191981419 : 10.0.85.37
sent_message : 1563810214565615 : 10.0.85.38
received_rejected_message : 1563810208802812 : 10.0.85.36
sent_message : 1563810219082626 : 10.0.85.36
generated_message : 1563810222644654
received_rejected_message : 1563810232405570 : 10.0.85.38
sent_message : 1563810245562242 : 10.0.85.37
received_accepted_message : 1563810242621830 : 10.0.85.36
sent_message : 1563810250430113 : 10.0.85.38
sent_message : 1563810250790526 : 10.0.85.38
sent_message : 1563810255101806 : 10.0.85.36
received_rejected_message : 1563810258341618 : 10.0.85.37
received_rejected_message : 1563810268053047 : 10.0.85.38
sent_message : 1563810282581859 : 10.0.85.37
received_accepted_message : 1563810314397519 : 10.0.85.36
received_rejected_message : 1563810330712447 : 10.0.85.37
received_rejected_message : 1563810342126018 : 10.0.85.38
sent_message : 1563810356727029 : 10.0.85.37
sent_message : 1563810361982538 : 10.0.85.38
received_accepted_message : 1563810380096623 : 10.0.85.38
sent_message : 1563810394835642 : 10.0.85.37
sent_message : 1563810407467038 : 10.0.85.36
received_rejected_message : 1563810405785393 : 10.0.85.37
received_rejected_message : 1563810427861891 : 10.0.85.36
received_accepted_message : 1563810428045101 : 10.0.85.36
sent_message : 1563810433983953 : 10.0.85.37
sent_message : 1563810441424248 : 10.0.85.38
received_rejected_message : 1563810444545364 : 10.0.85.37
received_accepted_message : 1563810454732187 : 10.0.85.38
received_rejected_message : 1563810454986643 : 10.0.85.38
generated_message : 1563810462647744
sent_message : 1563810474503858 : 10.0.85.37
sent_message : 1563810474912458 : 10.0.85.37
sent_message : 1563810481252126 : 10.0.85.38
sent_message : 1563810487964626 : 10.0.85.36
sent_message : 1563810488246738 : 10.0.85.36
received_rejected_message : 1563810483955721 : 10.0.85.37
received_accepted_message : 1563810488255171 : 10.0.85.37
received_rejected_message : 1563810505481496 : 10.0.85.36
received_rejected_message : 1563810505975796 : 10.0.85.36
sent_message : 1563810522692652 : 10.0.85.38
sent_message : 1563810529614880 : 10.0.85.36
received_rejected_message : 1563810538147003 : 10.0.85.38
received_accepted_message : 1563810625464386 : 10.0.85.38
generated_message : 1563810642650261
sent_message : 1563810647381048 : 10.0.85.37
