program_started : 1563809273214561 : 8538
circBuffer.txt not found!
Starting with clean buffers
device_connected : 1563809280364480 : 10.0.85.35
device_connected : 1563809286162076 : 10.0.85.36
device_connected : 1563809289535546 : 10.0.85.37
received_accepted_message : 1563809323010954 : 10.0.85.35
received_rejected_message : 1563809328734682 : 10.0.85.36
received_rejected_message : 1563809332737370 : 10.0.85.37
received_accepted_message : 1563809332966607 : 10.0.85.37
sent_message : 1563809336109523 : 10.0.85.35
sent_message : 1563809336367135 : 10.0.85.36
sent_message : 1563809336665148 : 10.0.85.36
sent_message : 1563809336854156 : 10.0.85.37
received_rejected_message : 1563809344666828 : 10.0.85.35
received_rejected_message : 1563809350626385 : 10.0.85.36
received_accepted_message : 1563809399208043 : 10.0.85.37
sent_message : 1563809402304186 : 10.0.85.35
sent_message : 1563809403027827 : 10.0.85.36
received_rejected_message : 1563809410748899 : 10.0.85.35
received_rejected_message : 1563809416695492 : 10.0.85.36
generated_message : 1563809454016820
received_accepted_message : 1563809456015627 : 10.0.85.35
received_accepted_message : 1563809463052272 : 10.0.85.36
received_rejected_message : 1563809463330169 : 10.0.85.36
received_rejected_message : 1563809467695230 : 10.0.85.37
received_rejected_message : 1563809467893973 : 10.0.85.37
sent_message : 1563809469759555 : 10.0.85.35
sent_message : 1563809470292779 : 10.0.85.35
sent_message : 1563809471091617 : 10.0.85.36
sent_message : 1563809471301460 : 10.0.85.36
sent_message : 1563809472495358 : 10.0.85.37
sent_message : 1563809472712656 : 10.0.85.37
sent_message : 1563809472906254 : 10.0.85.37
received_rejected_message : 1563809479884534 : 10.0.85.35
received_accepted_message : 1563809580462479 : 10.0.85.35
received_rejected_message : 1563809587887758 : 10.0.85.36
sent_message : 1563809595859731 : 10.0.85.36
received_accepted_message : 1563809593134974 : 10.0.85.37
sent_message : 1563809597424537 : 10.0.85.37
received_rejected_message : 1563809595886616 : 10.0.85.37
received_rejected_message : 1563809606158689 : 10.0.85.35
received_rejected_message : 1563809613466223 : 10.0.85.36
sent_message : 1563809620018652 : 10.0.85.35
sent_message : 1563809621799320 : 10.0.85.36
received_accepted_message : 1563809695558308 : 10.0.85.36
sent_message : 1563809701468020 : 10.0.85.35
sent_message : 1563809705444195 : 10.0.85.37
received_rejected_message : 1563809701705824 : 10.0.85.37
received_rejected_message : 1563809713087236 : 10.0.85.35
generated_message : 1563809754021400
sent_message : 1563809758337672 : 10.0.85.36
sent_message : 1563809760908011 : 10.0.85.37
received_accepted_message : 1563809767437546 : 10.0.85.35
received_rejected_message : 1563809776242629 : 10.0.85.36
sent_message : 1563809783921438 : 10.0.85.35
sent_message : 1563809786575899 : 10.0.85.36
received_rejected_message : 1563809784332867 : 10.0.85.37
sent_message : 1563809789307334 : 10.0.85.37
generated_message : 1563809815700316
sent_message : 1563809841444295 : 10.0.85.35
sent_message : 1563809844712774 : 10.0.85.36
sent_message : 1563809847557928 : 10.0.85.37
received_accepted_message : 1563809904136523 : 10.0.85.37
received_rejected_message : 1563809910341444 : 10.0.85.35
received_rejected_message : 1563809920814580 : 10.0.85.36
sent_message : 1563809930202687 : 10.0.85.35
sent_message : 1563809933615308 : 10.0.85.36
received_accepted_message : 1563810004106246 : 10.0.85.35
received_accepted_message : 1563810012732913 : 10.0.85.36
received_rejected_message : 1563810012910062 : 10.0.85.36
sent_message : 1563810024410590 : 10.0.85.35
sent_message : 1563810028673635 : 10.0.85.36
sent_message : 1563810032688939 : 10.0.85.37
sent_message : 1563810032898565 : 10.0.85.37
received_rejected_message : 1563810029820878 : 10.0.85.37
received_rejected_message : 1563810032903567 : 10.0.85.37
received_rejected_message : 1563810037975880 : 10.0.85.35
received_accepted_message : 1563810071228655 : 10.0.85.35
sent_message : 1563810093561378 : 10.0.85.36
sent_message : 1563810099239097 : 10.0.85.37
received_rejected_message : 1563810097424166 : 10.0.85.37
received_rejected_message : 1563810111910137 : 10.0.85.36
generated_message : 1563810117286730
sent_message : 1563810124754378 : 10.0.85.35
sent_message : 1563810129358233 : 10.0.85.36
sent_message : 1563810135396636 : 10.0.85.37
received_accepted_message : 1563810199769418 : 10.0.85.37
received_rejected_message : 1563810214299101 : 10.0.85.35
received_rejected_message : 1563810217480516 : 10.0.85.36
sent_message : 1563810232111943 : 10.0.85.35
sent_message : 1563810236174011 : 10.0.85.36
received_accepted_message : 1563810250159371 : 10.0.85.35
received_accepted_message : 1563810250516709 : 10.0.85.35
received_rejected_message : 1563810251276457 : 10.0.85.36
sent_message : 1563810267760764 : 10.0.85.35
sent_message : 1563810272420804 : 10.0.85.36
sent_message : 1563810278854373 : 10.0.85.37
sent_message : 1563810279348464 : 10.0.85.37
received_rejected_message : 1563810268531206 : 10.0.85.37
received_rejected_message : 1563810279382425 : 10.0.85.37
received_rejected_message : 1563810287111413 : 10.0.85.36
received_accepted_message : 1563810324329562 : 10.0.85.36
sent_message : 1563810341838139 : 10.0.85.35
received_rejected_message : 1563810339987967 : 10.0.85.37
sent_message : 1563810353839418 : 10.0.85.37
generated_message : 1563810357290128
received_rejected_message : 1563810361717382 : 10.0.85.35
sent_message : 1563810379806480 : 10.0.85.35
sent_message : 1563810384880839 : 10.0.85.36
sent_message : 1563810390188540 : 10.0.85.37
generated_message : 1563810417292801
received_accepted_message : 1563810439479068 : 10.0.85.36
received_rejected_message : 1563810441156889 : 10.0.85.35
sent_message : 1563810454434554 : 10.0.85.35
sent_message : 1563810454701367 : 10.0.85.35
sent_message : 1563810460322065 : 10.0.85.36
sent_message : 1563810466439758 : 10.0.85.37
sent_message : 1563810466679985 : 10.0.85.37
received_rejected_message : 1563810456614862 : 10.0.85.37
received_accepted_message : 1563810480978521 : 10.0.85.35
sent_message : 1563810502711516 : 10.0.85.36
received_accepted_message : 1563810499724197 : 10.0.85.37
sent_message : 1563810509928704 : 10.0.85.37
received_rejected_message : 1563810502737955 : 10.0.85.37
received_rejected_message : 1563810519639469 : 10.0.85.36
received_rejected_message : 1563810519867856 : 10.0.85.36
received_rejected_message : 1563810522420153 : 10.0.85.35
sent_message : 1563810537854450 : 10.0.85.35
