program_started : 1563834677292603 : 8537
circBuffer.txt not found!
Starting with clean buffers
device_connected : 1563834693291517 : 10.0.85.35
device_connected : 1563834696338920 : 10.0.85.36
device_connected : 1563834697699528 : 10.0.85.38
generated_message : 1563834708146835
received_accepted_message : 1563834713415313 : 10.0.85.35
received_accepted_message : 1563834716578233 : 10.0.85.36
received_rejected_message : 1563834716933902 : 10.0.85.36
sent_message : 1563834717557606 : 10.0.85.35
sent_message : 1563834718098689 : 10.0.85.35
sent_message : 1563834718300391 : 10.0.85.36
sent_message : 1563834718524385 : 10.0.85.36
sent_message : 1563834719008044 : 10.0.85.38
sent_message : 1563834719301616 : 10.0.85.38
sent_message : 1563834719604223 : 10.0.85.38
received_accepted_message : 1563834721124898 : 10.0.85.38
received_rejected_message : 1563834721539894 : 10.0.85.38
received_rejected_message : 1563834721790504 : 10.0.85.38
received_rejected_message : 1563834734607017 : 10.0.85.35
received_rejected_message : 1563834735070079 : 10.0.85.35
received_accepted_message : 1563834735360271 : 10.0.85.35
generated_message : 1563834738153854
received_rejected_message : 1563834739181894 : 10.0.85.36
sent_message : 1563834740218679 : 10.0.85.35
sent_message : 1563834740726632 : 10.0.85.35
received_accepted_message : 1563834739446937 : 10.0.85.36
sent_message : 1563834741582236 : 10.0.85.36
sent_message : 1563834741938196 : 10.0.85.36
sent_message : 1563834742246467 : 10.0.85.36
sent_message : 1563834743670400 : 10.0.85.38
sent_message : 1563834744014167 : 10.0.85.38
sent_message : 1563834744268171 : 10.0.85.38
received_rejected_message : 1563834746527116 : 10.0.85.38
received_accepted_message : 1563834746741355 : 10.0.85.38
received_rejected_message : 1563834746959863 : 10.0.85.38
received_rejected_message : 1563834759272923 : 10.0.85.35
received_rejected_message : 1563834759676290 : 10.0.85.35
received_rejected_message : 1563834763451058 : 10.0.85.36
received_rejected_message : 1563834763907665 : 10.0.85.36
sent_message : 1563834765579170 : 10.0.85.35
sent_message : 1563834765916511 : 10.0.85.35
sent_message : 1563834767894382 : 10.0.85.36
generated_message : 1563834768156260
received_accepted_message : 1563834772483283 : 10.0.85.38
received_accepted_message : 1563834785858955 : 10.0.85.35
sent_message : 1563834791659917 : 10.0.85.35
sent_message : 1563834792097099 : 10.0.85.35
sent_message : 1563834795035021 : 10.0.85.36
sent_message : 1563834795235899 : 10.0.85.36
sent_message : 1563834795478954 : 10.0.85.36
received_accepted_message : 1563834789871277 : 10.0.85.36
received_rejected_message : 1563834795487192 : 10.0.85.36
sent_message : 1563834797724742 : 10.0.85.38
sent_message : 1563834798245071 : 10.0.85.38
sent_message : 1563834798495276 : 10.0.85.38
received_rejected_message : 1563834799746752 : 10.0.85.38
generated_message : 1563834799865972
received_rejected_message : 1563834799986838 : 10.0.85.38
received_rejected_message : 1563834813025280 : 10.0.85.35
received_rejected_message : 1563834813704670 : 10.0.85.35
received_accepted_message : 1563834814060241 : 10.0.85.35
sent_message : 1563834822638250 : 10.0.85.35
sent_message : 1563834822983167 : 10.0.85.35
sent_message : 1563834826536920 : 10.0.85.36
sent_message : 1563834826777799 : 10.0.85.36
received_rejected_message : 1563834818894676 : 10.0.85.36
received_accepted_message : 1563834826783673 : 10.0.85.36
received_rejected_message : 1563834826787518 : 10.0.85.36
generated_message : 1563834829870643
sent_message : 1563834830009207 : 10.0.85.38
sent_message : 1563834830227404 : 10.0.85.38
sent_message : 1563834830462140 : 10.0.85.38
received_accepted_message : 1563834831118202 : 10.0.85.38
received_rejected_message : 1563834831422853 : 10.0.85.38
received_rejected_message : 1563834831695443 : 10.0.85.38
received_rejected_message : 1563834845208023 : 10.0.85.35
received_accepted_message : 1563834845950382 : 10.0.85.35
received_rejected_message : 1563834846598379 : 10.0.85.35
sent_message : 1563834856529304 : 10.0.85.35
sent_message : 1563834856945420 : 10.0.85.35
sent_message : 1563834857258672 : 10.0.85.35
generated_message : 1563834860466906
sent_message : 1563834862877101 : 10.0.85.36
sent_message : 1563834863205725 : 10.0.85.36
sent_message : 1563834863441216 : 10.0.85.36
received_accepted_message : 1563834852263236 : 10.0.85.36
sent_message : 1563834867289501 : 10.0.85.38
sent_message : 1563834867753120 : 10.0.85.38
sent_message : 1563834867986910 : 10.0.85.38
sent_message : 1563834868702444 : 10.0.85.38
received_rejected_message : 1563834863454141 : 10.0.85.36
received_rejected_message : 1563834868736242 : 10.0.85.36
received_accepted_message : 1563834868739548 : 10.0.85.38
received_rejected_message : 1563834868791480 : 10.0.85.38
received_rejected_message : 1563834868793091 : 10.0.85.38
received_rejected_message : 1563834879867292 : 10.0.85.35
received_accepted_message : 1563834880118666 : 10.0.85.35
received_rejected_message : 1563834880347888 : 10.0.85.35
generated_message : 1563834893450411
sent_message : 1563834896135857 : 10.0.85.35
sent_message : 1563834896423469 : 10.0.85.35
sent_message : 1563834896654713 : 10.0.85.35
sent_message : 1563834902687920 : 10.0.85.36
sent_message : 1563834902897043 : 10.0.85.36
sent_message : 1563834903111395 : 10.0.85.36
received_accepted_message : 1563834890574167 : 10.0.85.36
received_rejected_message : 1563834903123134 : 10.0.85.36
sent_message : 1563834910043278 : 10.0.85.38
sent_message : 1563834910354389 : 10.0.85.38
sent_message : 1563834910691543 : 10.0.85.38
received_rejected_message : 1563834903127184 : 10.0.85.36
received_accepted_message : 1563834910697055 : 10.0.85.38
received_rejected_message : 1563834910711896 : 10.0.85.38
received_rejected_message : 1563834910713367 : 10.0.85.38
received_accepted_message : 1563834910714862 : 10.0.85.38
received_accepted_message : 1563834919636862 : 10.0.85.35
received_rejected_message : 1563834919852001 : 10.0.85.35
received_rejected_message : 1563834920095002 : 10.0.85.35
generated_message : 1563834933122102
sent_message : 1563834940583787 : 10.0.85.35
sent_message : 1563834940975981 : 10.0.85.35
sent_message : 1563834941207544 : 10.0.85.35
sent_message : 1563834941440092 : 10.0.85.35
sent_message : 1563834948064010 : 10.0.85.36
sent_message : 1563834948865210 : 10.0.85.36
sent_message : 1563834949253690 : 10.0.85.36
sent_message : 1563834949567508 : 10.0.85.36
received_accepted_message : 1563834932179439 : 10.0.85.36
