program_started : 1564060767229515 : 8546
circBuffer.txt not found!
Starting with clean buffers
client_device_connected : 1564060788567082 : 10.0.85.35 : sd = 3
Adding to list of sockets as 0
client_device_connected : 1564060788581861 : 10.0.85.38 : sd = 4
Adding to list of sockets as 1
client_device_connected : 1564060788587174 : 10.0.85.37 : sd = 6
Adding to list of sockets as 2
server_device_connected : 1564060798184284 : 10.0.85.35 : sd = 8
Adding to list of sockets as 3
received_rejected_message : 1564060826216256 : 10.0.85.37 : sd=6
received_rejected_message : 1564060826381955 : 10.0.85.35 : sd=8
received_rejected_message : 1564060826608539 : 10.0.85.37 : sd=6
received_rejected_message : 1564060826763752 : 10.0.85.35 : sd=8
received_rejected_message : 1564060827165219 : 10.0.85.35 : sd=8
received_rejected_message : 1564060827178223 : 10.0.85.37 : sd=6
received_rejected_message : 1564060827492285 : 10.0.85.35 : sd=8
received_rejected_message : 1564060827668902 : 10.0.85.37 : sd=6
received_rejected_message : 1564060828054118 : 10.0.85.35 : sd=8
received_rejected_message : 1564060828120621 : 10.0.85.37 : sd=6
received_rejected_message : 1564060828531404 : 10.0.85.37 : sd=6
received_rejected_message : 1564060828549424 : 10.0.85.35 : sd=8
received_rejected_message : 1564060828890054 : 10.0.85.37 : sd=6
received_rejected_message : 1564060828961264 : 10.0.85.35 : sd=8
received_rejected_message : 1564060829307327 : 10.0.85.37 : sd=6
received_rejected_message : 1564060829342573 : 10.0.85.35 : sd=8
received_rejected_message : 1564060829735828 : 10.0.85.35 : sd=8
received_rejected_message : 1564060829743478 : 10.0.85.37 : sd=6
received_rejected_message : 1564060830063349 : 10.0.85.35 : sd=8
received_rejected_message : 1564060830256361 : 10.0.85.37 : sd=6
received_rejected_message : 1564060830432517 : 10.0.85.35 : sd=8
received_rejected_message : 1564060830761966 : 10.0.85.37 : sd=6
received_rejected_message : 1564060831171752 : 10.0.85.37 : sd=6
received_rejected_message : 1564060831587435 : 10.0.85.37 : sd=6
received_rejected_message : 1564060832000119 : 10.0.85.37 : sd=6
