program_started : 1563834673367257 : 8535
circBuffer.txt not found!
Starting with clean buffers
device_connected : 1563834693781839 : 10.0.85.36
device_connected : 1563834693796597 : 10.0.85.37
device_connected : 1563834693814822 : 10.0.85.38
generated_message : 1563834704160599
sent_message : 1563834713576642 : 10.0.85.36
sent_message : 1563834713921885 : 10.0.85.37
sent_message : 1563834714151409 : 10.0.85.38
received_accepted_message : 1563834716686040 : 10.0.85.36
received_accepted_message : 1563834718098877 : 10.0.85.37
received_rejected_message : 1563834718612112 : 10.0.85.37
received_accepted_message : 1563834719473281 : 10.0.85.38
received_rejected_message : 1563834720062656 : 10.0.85.38
generated_message : 1563834734165138
sent_message : 1563834734453374 : 10.0.85.36
sent_message : 1563834734678692 : 10.0.85.36
sent_message : 1563834735117191 : 10.0.85.37
sent_message : 1563834735568249 : 10.0.85.37
sent_message : 1563834735870539 : 10.0.85.37
sent_message : 1563834736306787 : 10.0.85.38
sent_message : 1563834736524571 : 10.0.85.38
sent_message : 1563834736919013 : 10.0.85.38
received_rejected_message : 1563834738285249 : 10.0.85.36
received_rejected_message : 1563834738514056 : 10.0.85.36
received_accepted_message : 1563834738746959 : 10.0.85.36
received_rejected_message : 1563834740757246 : 10.0.85.37
received_accepted_message : 1563834741240964 : 10.0.85.37
received_rejected_message : 1563834743148475 : 10.0.85.38
received_accepted_message : 1563834743552321 : 10.0.85.38
received_rejected_message : 1563834743752460 : 10.0.85.38
sent_message : 1563834757665188 : 10.0.85.36
sent_message : 1563834758111659 : 10.0.85.36
sent_message : 1563834758340366 : 10.0.85.36
sent_message : 1563834759771561 : 10.0.85.37
sent_message : 1563834760186434 : 10.0.85.37
sent_message : 1563834761639089 : 10.0.85.38
sent_message : 1563834761875049 : 10.0.85.38
received_rejected_message : 1563834762367939 : 10.0.85.36
received_rejected_message : 1563834762568473 : 10.0.85.36
generated_message : 1563834764683520
received_rejected_message : 1563834766097823 : 10.0.85.37
received_rejected_message : 1563834766441826 : 10.0.85.37
received_rejected_message : 1563834769032399 : 10.0.85.38
sent_message : 1563834784044302 : 10.0.85.36
sent_message : 1563834786358743 : 10.0.85.37
sent_message : 1563834788501268 : 10.0.85.38
received_accepted_message : 1563834788042655 : 10.0.85.36
received_accepted_message : 1563834792192446 : 10.0.85.37
received_accepted_message : 1563834792611634 : 10.0.85.37
generated_message : 1563834794689144
received_rejected_message : 1563834795010765 : 10.0.85.38
sent_message : 1563834810671704 : 10.0.85.36
sent_message : 1563834810961425 : 10.0.85.36
sent_message : 1563834811283468 : 10.0.85.36
sent_message : 1563834813526411 : 10.0.85.37
sent_message : 1563834814213964 : 10.0.85.37
sent_message : 1563834814568566 : 10.0.85.37
sent_message : 1563834817646706 : 10.0.85.38
sent_message : 1563834817884928 : 10.0.85.38
sent_message : 1563834818394843 : 10.0.85.38
received_rejected_message : 1563834815827537 : 10.0.85.36
received_rejected_message : 1563834818408846 : 10.0.85.36
received_accepted_message : 1563834818423090 : 10.0.85.36
received_rejected_message : 1563834823185509 : 10.0.85.37
received_accepted_message : 1563834823497729 : 10.0.85.37
received_rejected_message : 1563834824513325 : 10.0.85.38
generated_message : 1563834824694714
received_rejected_message : 1563834824801480 : 10.0.85.38
received_accepted_message : 1563834825059974 : 10.0.85.38
sent_message : 1563834841806537 : 10.0.85.36
sent_message : 1563834842010277 : 10.0.85.36
sent_message : 1563834842242062 : 10.0.85.36
sent_message : 1563834845701383 : 10.0.85.37
sent_message : 1563834846459908 : 10.0.85.37
sent_message : 1563834847082620 : 10.0.85.37
received_rejected_message : 1563834846994346 : 10.0.85.36
sent_message : 1563834850360257 : 10.0.85.38
sent_message : 1563834850772425 : 10.0.85.38
sent_message : 1563834851036587 : 10.0.85.38
received_accepted_message : 1563834847192448 : 10.0.85.36
received_rejected_message : 1563834851303350 : 10.0.85.36
generated_message : 1563834854699284
received_rejected_message : 1563834855745540 : 10.0.85.38
received_rejected_message : 1563834856066710 : 10.0.85.38
received_accepted_message : 1563834856382066 : 10.0.85.38
received_rejected_message : 1563834857059168 : 10.0.85.37
received_accepted_message : 1563834857459875 : 10.0.85.37
received_rejected_message : 1563834857772814 : 10.0.85.37
sent_message : 1563834875056077 : 10.0.85.36
sent_message : 1563834875318846 : 10.0.85.36
sent_message : 1563834875553875 : 10.0.85.36
sent_message : 1563834880358980 : 10.0.85.37
sent_message : 1563834880628301 : 10.0.85.37
sent_message : 1563834880857540 : 10.0.85.37
generated_message : 1563834884706679
sent_message : 1563834885519019 : 10.0.85.38
sent_message : 1563834886112897 : 10.0.85.38
sent_message : 1563834887036644 : 10.0.85.38
received_accepted_message : 1563834885274929 : 10.0.85.36
received_rejected_message : 1563834887057351 : 10.0.85.36
received_rejected_message : 1563834887071578 : 10.0.85.36
received_rejected_message : 1563834893196428 : 10.0.85.38
received_accepted_message : 1563834893610442 : 10.0.85.38
received_rejected_message : 1563834894038558 : 10.0.85.38
received_accepted_message : 1563834894411698 : 10.0.85.38
received_rejected_message : 1563834896660505 : 10.0.85.37
received_rejected_message : 1563834896937642 : 10.0.85.37
received_rejected_message : 1563834897168614 : 10.0.85.37
sent_message : 1563834914246577 : 10.0.85.36
sent_message : 1563834914773970 : 10.0.85.36
sent_message : 1563834914983161 : 10.0.85.36
generated_message : 1563834917041499
sent_message : 1563834920135869 : 10.0.85.37
sent_message : 1563834920361613 : 10.0.85.37
sent_message : 1563834920604783 : 10.0.85.37
sent_message : 1563834926191830 : 10.0.85.38
sent_message : 1563834926402752 : 10.0.85.38
sent_message : 1563834927011992 : 10.0.85.38
received_accepted_message : 1563834925843288 : 10.0.85.36
received_rejected_message : 1563834927038773 : 10.0.85.36
received_rejected_message : 1563834927050696 : 10.0.85.36
received_rejected_message : 1563834940511445 : 10.0.85.38
received_accepted_message : 1563834940886030 : 10.0.85.38
received_rejected_message : 1563834941105396 : 10.0.85.38
received_accepted_message : 1563834941124244 : 10.0.85.37
received_rejected_message : 1563834941444814 : 10.0.85.38
received_rejected_message : 1563834941493344 : 10.0.85.37
received_rejected_message : 1563834941721310 : 10.0.85.37
